id;title;origin_title;description;year;tags;kinopoisk;imdb;torrent_link;full_text;src_small;src;src_big;src_xbig;src_xxbig;src_xxxbig;video
0;Алі;Ali;;2001;#ali, #kinakipa_драма, #kinakipa_біяграфія, #kinakipa_спорт, #kinakipa_агучка, #kinakipa_субцітры;https://www.kinopoisk.ru/film/585/;http://www.imdb.com/title/tt0248667/;http://www.baravik.org/topic/1493/;Алі | Ali | 2001<br><br>Беларуская агучка: http://www.baravik.org/topic/1493/ (DVO)<br>Беларускія субцітры: http://belazar.info/belsoft/cinema.php#ali<br><br>IMDb: http://www.imdb.com/title/tt0248667/<br>Kinopoisk: https://www.kinopoisk.ru/film/585/<br><br>#kinakipa_драма #kinakipa_біяграфія #kinakipa_спорт #kinakipa_агучка #kinakipa_субцітры;;;;;;;
1;Гладыятар;Gladiator;;2000;#kinakipa_драма, #kinakipa_баявік, #kinakipa_гісторыя, #kinakipa_агучка;https://www.kinopoisk.ru/film/474/;http://www.imdb.com/title/tt0172495/;http://www.baravik.org/topic/1602/, http://www.baravik.org/topic/583/;Гладыятар | Gladiator | 2000<br><br>Беларуская агучка: http://www.baravik.org/topic/1602/ (DVO)<br>(люстра): http://www.baravik.org/topic/583/<br>Беларускія субцітры: (няма)<br><br>IMDb: http://www.imdb.com/title/tt0172495/<br>Kinopoisk: https://www.kinopoisk.ru/film/474/<br><br>#kinakipa_драма #kinakipa_баявік #kinakipa_гісторыя #kinakipa_агучка;https://pp.userapi.com/c637529/v637529694/2f400/uf7f_ZOax-A.jpg;https://pp.userapi.com/c637529/v637529694/2f401/wlwkzlBkJUA.jpg;https://pp.userapi.com/c637529/v637529694/2f402/66OsXMjai1I.jpg;https://pp.userapi.com/c637529/v637529694/2f403/QrmedlWHE74.jpg;;;
2;Сакрэтныя матэрыялы;The X-Files;Дзякуй камандзе Dranik_TV за пераклад і агучку фільма!;1993;#kinakipa_фантастыка, #kinakipa_трылер, #kinakipa_драма, #kinakipa_серыял, #kinakipa_агучка;https://www.kinopoisk.ru/film/77046/;http://www.imdb.com/title/tt0106179/;http://www.baravik.org/topic/1563/;"Сакрэтныя матэрыялы | The X-Files | 1993<br><br>Беларуская агучка:<br>10 сезон (серыі 1-4): http://www.baravik.org/topic/1563/ (VO)<br>Серыя 1: https://cloud.mail.ru/public/CKhc/DqsHvLtLV<br>Серыя 4: https://drive.google.com/file/d/0B8Y8lF7QYTG6QjYwSWNMR0xuZWs/view?pref=2&amp;pli=1<br>Беларускія субцітры: (няма)<br><br>Дзякуй камандзе Dranik_TV за пераклад і агучку фільма!<br><br>IMDb: http://www.imdb.com/title/tt0106179/<br>Kinopoisk: https://www.kinopoisk.ru/film/77046/<br><br>#kinakipa_фантастыка #kinakipa_трылер #kinakipa_драма #kinakipa_серыял #kinakipa_агучка";https://pp.userapi.com/c604816/v604816694/2936e/_pA3MCXVz1U.jpg;https://pp.userapi.com/c604816/v604816694/2936f/GApqXEzmCq0.jpg;https://pp.userapi.com/c604816/v604816694/29370/_bjRRfgu83U.jpg;;;;
3;Футурама;Futurama;Дзякуй праекту [club33764991|Futubela Crew] за пераклад.;1999;#kinakipa_фантастыка, #kinakipa_камедыя, #kinakipa_серыял, #kinakipa_мультфільм, #kinakipa_агучка;https://www.kinopoisk.ru/film/79920/;http://www.imdb.com/title/tt0149460/;http://www.baravik.org/topic/888/, http://www.baravik.org/topic/1071/;Футурама | Futurama | 1999<br><br>Беларуская агучка: <br>1 сезон (увесь) і 2 сезон (серыі 1-2): http://www.baravik.org/topic/888/<br>2 сезон (серыі 3-8) і 7 сезон (серыі 1-7): http://www.baravik.org/topic/1071/<br>Беларускія субцітры: (няма)<br><br>IMDb: http://www.imdb.com/title/tt0149460/<br>Kinopoisk: https://www.kinopoisk.ru/film/79920/<br><br>Дзякуй праекту [club33764991|Futubela Crew] за пераклад. <br><br>#kinakipa_фантастыка #kinakipa_камедыя #kinakipa_серыял #kinakipa_мультфільм #kinakipa_агучка;https://pp.userapi.com/c638922/v638922694/23175/3D0fO2-hu1Y.jpg;https://pp.userapi.com/c638922/v638922694/23176/so-0-RZc3UA.jpg;https://pp.userapi.com/c638922/v638922694/23177/viomxVAHEBY.jpg;https://pp.userapi.com/c638922/v638922694/23178/TazQwxEZwHw.jpg;https://pp.userapi.com/c638922/v638922694/23179/ZhgHJywQ8rU.jpg;;
4;Страла;Arrow;;2012;#kinakipa_серыял, #kinakipa_фантастыка, #kinakipa_баявік, #kinakipa_агучка, #kinakipa_субцітры;https://www.kinopoisk.ru/film/661938/;http://www.imdb.com/title/tt2193021/;http://www.baravik.org/topic/1548/;Страла | Arrow | 2012<br><br>IMDb: http://www.imdb.com/title/tt2193021/<br>Kinopoisk: https://www.kinopoisk.ru/film/661938/<br><br>Беларуская агучка і субцітры: <br>1 сезон: http://www.baravik.org/topic/1548/ (VO)<br>Серыі 4-23 ў перакладзе адсутнічаюць<br><br>#kinakipa_серыял #kinakipa_фантастыка #kinakipa_баявік #kinakipa_агучка #kinakipa_субцітры;https://pp.userapi.com/c636128/v636128694/5640b/uujM8RnbTss.jpg;https://pp.userapi.com/c636128/v636128694/5640c/RM2of9TQ03c.jpg;https://pp.userapi.com/c636128/v636128694/5640d/ZQij47juG2w.jpg;;;;
5;Тэорыя Вялікага Выбуху;The Big Bang Theory;Беларуская агучка: (няма)Беларускія субцітры: ёсць;2007;#big_bang_theory_s1, #kinakipa_камедыя, #kinakipa_меладрама, #kinakipa_серыял, #kinakipa_субцітры;https://www.kinopoisk.ru/film/306084/;http://www.imdb.com/title/tt0898266/;http://www.baravik.org/topic/1523/;Тэорыя Вялікага Выбуху | The Big Bang Theory | 2007<br><br>Беларуская агучка: (няма)<br>Беларускія субцітры: ёсць<br>1 сезон (1-10): http://belazar.info/belsoft/cinema.php#big_bang_theory_s1 (пераклад ад [id7630170|Мар'яны Вітэра])<br>9 сезон: http://www.baravik.org/topic/1523/ (пераклад ад Сяргея wert)<br><br>IMDb: http://www.imdb.com/title/tt0898266/<br>Kinopoisk: https://www.kinopoisk.ru/film/306084/<br><br>#kinakipa_камедыя #kinakipa_меладрама #kinakipa_серыял #kinakipa_субцітры;https://pp.userapi.com/c836424/v836424694/26827/lENro6TUXFI.jpg;https://pp.userapi.com/c836424/v836424694/26828/GegDhnoAQTE.jpg;https://pp.userapi.com/c836424/v836424694/26829/-BBYZHRMxzQ.jpg;https://pp.userapi.com/c836424/v836424694/2682a/2qX0Z6RweSU.jpg;https://pp.userapi.com/c836424/v836424694/2682b/sT8-BhVtGG8.jpg;https://pp.userapi.com/c836424/v836424694/2682c/J4NVrhaZNao.jpg;"<iframe src=""None"" width=""480"" height=""270"" frameborder=""0"" allowfullscreen></iframe>"
6;Адвакат;Byeon-ho-in (The Attorney);Беларуская агучка: (няма)Беларускія субцітры: ёсць;2013;#kinakipa_драма, #kinakipa_субцітры;https://www.kinopoisk.ru/film/817888/;http://www.imdb.com/title/tt3404140/;;Адвакат | Byeon-ho-in (The Attorney) | 2013<br><br>Беларуская агучка: (няма)<br>Беларускія субцітры: ёсць<br><br>Фільм перакладзены суполкай [club45231239|Belmovie].<br><br>IMDb: http://www.imdb.com/title/tt3404140/<br>Kinopoisk: https://www.kinopoisk.ru/film/817888/<br><br>#kinakipa_драма #kinakipa_субцітры;https://pp.userapi.com/c836423/v836423694/24b71/BPEz1m1XtWI.jpg;https://pp.userapi.com/c836423/v836423694/24b72/a7rvXunTtLQ.jpg;https://pp.userapi.com/c836423/v836423694/24b73/8rdQo5wUpiM.jpg;https://pp.userapi.com/c836423/v836423694/24b74/cgoUxVkXOLE.jpg;https://pp.userapi.com/c836423/v836423694/24b75/tuj4zhdxW7U.jpg;;"<iframe src=""https://vk.com/video_ext.php?oid=-45231239&id=170903900&hash=fca67c5133586807"" width=""480"" height=""270"" frameborder=""0"" allowfullscreen></iframe>"
7;Унутраная імперыя;Inland Empire;Пераклад зрабіў спадар [id403026989|Fornir Iogannen]!;2006;#inland_empire, #kinakipa_драма, #kinakipa_трылер, #kinakipa_фэнтэзі, #kinakipa_субцітры;https://www.kinopoisk.ru/film/104987/;http://www.imdb.com/title/tt0460829/;;Унутраная імперыя | Inland Empire | 2006<br><br>Беларуская агучка: (няма)<br>Беларускія субцітры: http://belazar.info/belsoft/cinema.php#inland_empire<br><br>Пераклад зрабіў спадар [id403026989|Fornir Iogannen]!<br><br>IMDb: http://www.imdb.com/title/tt0460829/<br>Kinopoisk: https://www.kinopoisk.ru/film/104987/<br><br>#kinakipa_драма #kinakipa_трылер #kinakipa_фэнтэзі #kinakipa_субцітры;https://pp.userapi.com/c836423/v836423694/243a7/BtIaEZq6smk.jpg;https://pp.userapi.com/c836423/v836423694/243a8/sf0QHZyGbY8.jpg;https://pp.userapi.com/c836423/v836423694/243a9/nBsvmBPA52k.jpg;https://pp.userapi.com/c836423/v836423694/243aa/3dkTstpL_zA.jpg;https://pp.userapi.com/c836423/v836423694/243ab/BX7d_WM-fdk.jpg;https://pp.userapi.com/c836423/v836423694/243ac/tyWsipkhxqM.jpg;
9;Каханне;Amour;Пераклад фільма зрабіў спадар [id95250730|Цімафей Каліноўскі]!Падзякаваць яму можна сваім лайкам!;2012;#kinakipa_драма, #kinakipa_меладрама, #kinakipa_субцітры;https://www.kinopoisk.ru/film/506239/;http://www.imdb.com/title/tt1602620/;http://www.baravik.org/topic/1647/;Каханне | Amour | 2012<br><br>Беларуская агучка: (няма)<br>Беларускія субцітры: http://www.baravik.org/topic/1647/<br><br>Пераклад фільма зрабіў спадар [id95250730|Цімафей Каліноўскі]!<br>Падзякаваць яму можна сваім лайкам!<br><br>IMDb: http://www.imdb.com/title/tt1602620/<br>Kinopoisk: https://www.kinopoisk.ru/film/506239/<br><br>#kinakipa_драма #kinakipa_меладрама #kinakipa_субцітры;https://pp.userapi.com/c637131/v637131694/31fbb/-L6HK4hfs7s.jpg;https://pp.userapi.com/c637131/v637131694/31fbc/0NnpG-Fws2s.jpg;https://pp.userapi.com/c637131/v637131694/31fbd/NXUyhHZuN6g.jpg;https://pp.userapi.com/c637131/v637131694/31fbe/QnQcRjmZlcQ.jpg;https://pp.userapi.com/c637131/v637131694/31fbf/fEgN5bdrzG0.jpg;;
10;Гулец;The Player;;1992;#kinakipa_крымінал, #kinakipa_камедыя, #kinakipa_драма, #kinakipa_агучка;https://www.kinopoisk.ru/film/570/;http://www.imdb.com/title/tt0105151/;http://www.baravik.org/topic/1611/;Гулец | The Player | 1992<br><br>Беларуская агучка: http://www.baravik.org/topic/1611/ (DVO)<br>Беларускія субцітры: (няма)<br><br>IMDb: http://www.imdb.com/title/tt0105151/<br>Kinopoisk: https://www.kinopoisk.ru/film/570/<br><br>#kinakipa_крымінал #kinakipa_камедыя #kinakipa_драма #kinakipa_агучка;https://pp.userapi.com/c637131/v637131694/31e62/NlueGKZb5mQ.jpg;https://pp.userapi.com/c637131/v637131694/31e63/zXQfGTVXfcg.jpg;https://pp.userapi.com/c637131/v637131694/31e64/Aliz10ijJT8.jpg;https://pp.userapi.com/c637131/v637131694/31e65/vloDwqz3cFg.jpg;https://pp.userapi.com/c637131/v637131694/31e66/6BGSmoe_N9A.jpg;https://pp.userapi.com/c637131/v637131694/31e67/c4or2wZgcjM.jpg;"<iframe src=""https://www.youtube.com/embed/PjW74SFvADc"" width=""480"" height=""270"" frameborder=""0"" allowfullscreen></iframe>"
